Variável,FIV
Cobertura 4G/5G,1.6076068980249942
Fibra,1.2051360574860148
Densidade SMP,1.5648070419575295
HHI SMP,1.2501251201158132
Densidade SCM,1.3209268603609627
HHI SCM,1.0577597342462661
Adensamento de estações,1.195022697609349
