Termo,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,51.75842403601272,0.026674779777235817,1940.350565899825,0.0,51.706139586591995,51.810708485433445
C(ano)[T.2022],0.10926849860532117,0.03685793709321857,2.9645853029963876,0.0030341222211227553,0.03702434274738592,0.18151265446325643
C(ano)[T.2023],-0.013413328600317853,0.036704431514033416,-0.36544166595222866,0.7147852146088092,-0.0853566026981137,0.05852994549747799
C(ano)[T.2024],0.4958310916890627,0.046483217520407634,10.66688405275252,1.6851455141263227e-26,0.4047207074364265,0.5869414759416989
cobertura_pop_4g5g_z,3.631479351727639,0.016056918760005093,226.16290248494022,0.0,3.600006658653087,3.662952044802191
fibra_z,7.783233352657342,0.01405086854001051,553.9325437779322,0.0,7.755692659477021,7.810774045837662
densidade_smp_z,3.393345356302484,0.017327894574380193,195.83137130345,0.0,3.3593814610048356,3.4273092516001324
hhi_smp_z,1.6233665487536384,0.014255367719251939,113.8775639271146,0.0,1.5954250227610918,1.651308074746185
densidade_scm_z,2.8122944230922804,0.0162661774794173,172.89215162264568,0.0,2.780411568171133,2.8441772780134276
hhi_scm_z,1.2473082122374677,0.013039146952431468,95.6587280431621,0.0,1.2217505647135833,1.272865859761352
adensamento_estacoes_z,2.4288929392359906,0.016047178143466834,151.35950492484858,0.0,2.3974393384567443,2.460346540015237
